No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Pubchem_cid,Chemical_class_27,Chemical_class_coarse
148,Cimetidine ,8.4,51481-61-9 ,C/N=C(/NC#N) NCCSCc1[nH]cnc1C ,10.2,,https://doi.org/10.1021/es0340782,,"sulfide, disulfide",Sulfur-containing organics
149,Cimetidine ,8.34,51481-61-9 ,C/N=C(/NC#N) NCCSCc1[nH]cnc1C ,8.2,,https://doi.org/10.1021/es0340782,,"sulfide, disulfide",Sulfur-containing organics
150,Cimetidine ,7.96,51481-61-9 ,C/N=C(/NC#N) NCCSCc1[nH]cnc1C ,6.9,,https://doi.org/10.1021/es0340782,,"sulfide, disulfide",Sulfur-containing organics
151,Cimetidine ,6.52,51481-61-9 ,C/N=C(/NC#N) NCCSCc1[nH]cnc1C ,4.2,,https://doi.org/10.1021/es0340782,,"sulfide, disulfide",Sulfur-containing organics
152,dopamine ,6.94,51-61-6 ,NCCc1ccc(O)c(O)c1 ,6,,https://doi.org/10.1111/j.1751-1097.2008.00320.x,,benzene,Aromatic & PAHs
153,tyramine ,8.45,51-67-2 ,NCCc1ccc(O)cc1 ,10,,https://doi.org/10.1007/bf00805805,,benzene,Aromatic & PAHs
154,Pyridoxamine dihydrochloride ,5.1,524-36-7 ,Cc1ncc (CO)c(CN)c1OClCl ,8.2,,https://doi.org/10.1562/0031-8655(2000)071%3C0129:sipvbp%3E2.0.co;2,,alcohol,Oxygenated organics
155,Pyridoxamine dihydrochloride ,4.92,524-36-7 ,Cc1ncc (CO)c(CN)c1OClCl ,7.2,,https://doi.org/10.1562/0031-8655(2000)071%3C0129:sipvbp%3E2.0.co;2,,alcohol,Oxygenated organics
156,Pyridoxamine dihydrochloride ,4.69,524-36-7 ,Cc1ncc (CO)c(CN)c1OClCl ,6.3,,https://doi.org/10.1562/0031-8655(2000)071%3C0129:sipvbp%3E2.0.co;2,,alcohol,Oxygenated organics
157,"2,4,6-trimethylphenol ",6.51,527-60-6 ,Cc1cc(C)c(O)c(C)c1 ,3,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
158,"2,4,6-trimethylphenol ",8.78,527-60-6 ,Cc1cc(C)c(O)c(C)c1 ,12,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
159,Cysteine ,6.92,52-90-4 ,N[C@@H] (CS)C(=O) O ,7.4,,https://doi.org/10.1016/1011-1344(91)80008-6,,halogeneted,Halogenated organics
160,Flufenamic acid ,7.11,530-78-9 ,O=C(O)c1ccccc1Nc1cccc(C(F)(F) F) c1 ,7.5,,https://doi.org/10.1039/c7em00079k,,benzene,Aromatic & PAHs
161,trolox ,8.34,53188-07-1 ,Cc1c(C)c2c(c(C)c1O) CC [C@] (C)(C(=O) O) O2 ,6,,https://doi.org/10.1016/1011-1344(95)07137-Q,,diol,Polyfunctional / highly functionalized
162,trolox ,8.64,53188-07-1 ,Cc1c(C)c2c(c(C)c1O) CC[C@] (C)(C(=O) O) O2 ,7.6,,https://doi.org/10.1021/jp990838c,,diol,Polyfunctional / highly functionalized
163,trolox ,8.78,53188-07-1 ,Cc1c(C)c2c(c(C)c1O) CC[C@] (C) (C(=O) O) O2 ,12,,https://doi.org/10.1016/1011-1344(95)07137-Q,,diol,Polyfunctional / highly functionalized
164,equol ,7.23,531-95-3 ,Oc1ccc([C@H]2COc3cc(O)ccc3C2) cc1 ,7,,https://doi.org/10.1021/es301205a,,alcohol,Oxygenated organics
165,equol ,7.6,531-95-3 ,Oc1ccc([C@H]2COc3cc(O)ccc3C2) cc1 ,8,,https://doi.org/10.1021/es301205a,,alcohol,Oxygenated organics
166,equol ,8.49,531-95-3 ,Oc1ccc([C@H]2COc3cc(O)ccc3C2) cc1 ,10,,https://doi.org/10.1021/es301205a,,alcohol,Oxygenated organics
167,sesamol ,7.98,533-31-3 ,Oc1ccc2c(c1) OCO2 ,3,,https://doi.org/10.1039/C6EM00580B,,diol,Polyfunctional / highly functionalized
168,sesamol ,9.29,533-31-3 ,Oc1ccc2c(c1) OCO2 ,12,,https://doi.org/10.1039/C6EM00580B,,diol,Polyfunctional / highly functionalized
169,2-methylfuran ,7.88,534-22-5 ,Cc1ccco1 ,7,,https://doi.org/10.1021/jp990838c,,alkane,Aliphatic hydrocarbons
170,Indomethacin ,7.43,53-86-1 ,COc1ccc2c(c1) c (CC(=O) O) c(C)n2C(=O) c1ccc (Cl)cc1 ,7,,https://doi.org/10.1111/php.12114,,alcohol,Oxygenated organics
171,4-iodophenol ,7.9,540-38-5 ,Oc1ccc(I)cc1 ,11,,https://doi.org/10.1139/v93-160,,alcohol,Oxygenated organics
172,9-Methylguanine ,7.66,5502-78-3 ,Cn1cnc2c(=O) [nH]c(N)nc21 ,10,,https://doi.org/10.1021/acs.jpcb.9b08796,,cyclo,Aromatic & PAHs
173,9-Methylguanine ,6.08,5502-78-3 ,Cn1cnc2c(=O) [nH]c(N)nc21 ,7,,https://doi.org/10.1021/acs.jpcb.9b08796,,cyclo,Aromatic & PAHs
174,3-nitrophenol ,6.47,554-84-7 ,O=[N+] ([O-]) c1cccc(O)c1 ,3,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
175,3-nitrophenol ,7.61,554-84-7 ,O=[N+] ([O-]) c1cccc(O)c1 ,12,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
176,Glycyl-L-methionine ,7.11,554-94-9 ,CSCC[C@H] (NC(=O) CN) C(=O) O ,7,,https://doi.org/10.1111/j.1751-1097.1993.tb02317.x,,"sulfide, disulfide",Sulfur-containing organics
177,"2,3-Dimethyl-2-butene ",8.04,563-79-1 ,CC(C)=C(C)C ,7,,https://doi.org/10.1016/0045-6535(87)90004-X,,alkane,Aliphatic hydrocarbons
178,alanine ,6.3,56-41-7 ,C[C@H] (N)C(=O) O ,8.4,,https://doi.org/10.1071/EN17155,,halogeneted,Halogenated organics
179,alanine ,7.48,56-41-7 ,C[C@H] (N)C(=O) O ,10.6,,https://doi.org/10.1080/02772249209357813,,halogeneted,Halogenated organics
180,"2,6-dimethylphenol ",6.71,576-26-1 ,Cc1cccc(C)c1O ,3,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
181,"2,6-dimethylphenol ",8.02,576-26-1 ,Cc1cccc(C)c1O ,12,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
182,Sulfamethazine ,6.78,57-68-1 ,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1 ,8,,https://doi.org/10.1021/es048331p,,benzene,Aromatic & PAHs
183,Streptomycin ,5.2,57-92-1 ,[H]/N=C(\N) N···[C@@H] (N/C(N)=N/[H]) [C@@H]1O ,7,,https://doi.org/10.1021/acs.est.5b05234,,halogeneted,Halogenated organics
184,Pyridoxine hydrochloride ,4.89,58-56-0 ,Cc1ncc (CO)c(CO)c1O.Cl ,8.2,,https://doi.org/10.1562/0031-8655(2000)071%3C0129:sipvbp%3E2.0.co;2,,cyclo,Aromatic & PAHs
185,Pyridoxine hydrochloride ,4.77,58-56-0 ,Cc1ncc (CO)c(CO)c1O.Cl ,7.2,,https://doi.org/10.1562/0031-8655(2000)071%3C0129:sipvbp%3E2.0.co;2,,cyclo,Aromatic & PAHs
186,Pyridoxine hydrochloride ,4.71,58-56-0 ,Cc1ncc (CO)c(CO)c1O.Cl ,6.3,,https://doi.org/10.1562/0031-8655(2000)071%3C0129:sipvbp%3E2.0.co;2,,cyclo,Aromatic & PAHs
187,K anamycin ,5.84,1959/1/8,NC[C@H]1O···[C@H] (O)[C@@H] (O)[C@@H] O ,7,,https://doi.org/10.1021/acs.est.5b05234,,halogeneted,Halogenated organics
188,α-tocopherol ,8.5,1959/2/9,Ccc(C)cc(c(C)cO) CC[C] (C)(CCC[CH] (C)CC[CH] (C)CCCC(C)C) O ,7.4,,https://doi.org/10.1021/acs.jafc.6b04329,,alkane,Aliphatic hydrocarbons
189,Acyclovir ,6.34,59277-89-3 ,Nc1nc2c(ncn2COCCO) c(=O) [nH]1 ,5,,https://doi.org/10.1002/etc.3238,,halogeneted,Halogenated organics
190,Acyclovir ,6.54,59277-89-3 ,Nc1nc2c(ncn2COCCO) c(=O) [nH]1 ,7,,https://doi.org/10.1002/etc.3238,,halogeneted,Halogenated organics
191,Acyclovir ,7.2,59277-89-3 ,Nc1nc2c(ncn2COCCO) c(=O) [nH]1 ,9,,https://doi.org/10.1002/etc.3238,,halogeneted,Halogenated organics
192,Acyclovir ,7.2,59277-89-3 ,Nc1nc2c(ncn2COCCO) c(=O) [nH]1 ,10,,https://doi.org/10.1002/etc.3238,,halogeneted,Halogenated organics
193,Met hionine ,6.93,59-51-8 ,CSCC[C@H] (N)C(=O) O ,7.1,,https://doi.org/10.1111/j.1751-1097.1978.tb06973.x,,"sulfide, disulfide",Sulfur-containing organics
194,N-methylthiourea ,6.3,598-52-7 ,CNC(N)=S ,7.1,,https://doi.org/10.1111/j.1751-1097.1978.tb06973.x,,"sulfide, disulfide",Sulfur-containing organics
195,Tyrosine ,8.12,60-18-4 ,N[C@@H] (Cc1ccc(O)cc1) C(=O) O ,11.6,,https://doi.org/10.1021/acs.est.1c04194,,halogeneted,Halogenated organics
196,Tyrosine ,6.94,60-18-4 ,N[C@@H] (Cc1ccc(O)cc1) C(=O) O ,3,,https://doi.org/10.1039/C6EM00580B,,halogeneted,Halogenated organics
197,Tyrosine ,7.04,60-18-4 ,N[C@@H] (Cc1ccc(O)cc1) C(=O) O ,5.1,,https://doi.org/10.1021/es503656m,,halogeneted,Halogenated organics
198,Tyrosine ,7.43,60-18-4 ,N[C@@H] (Cc1ccc(O)cc1) C(=O) O ,7,,https://doi.org/10.1016/1011-1344(91)80212-Z,,halogeneted,Halogenated organics
199,Propiconazole ,6.59,60207-90-1 ,CCC[C@@H]1CO[C@@] (Cn2cncn2) (c2ccc (Cl)cc2Cl) O1 ,8.51,,https://doi.org/10.1021/es3030808,,alkane,Aliphatic hydrocarbons
200,2’-HO-BDE-7 ,6.63,602326-09-0 ,Oc1ccccc1Oc1ccc (Br)cc1Br ,7,,https://doi.org/10.1016/j.chemosphere.2012.06.033,,diol,Polyfunctional / highly functionalized
201,2’-HO-BDE-7 ,8.35,602326-09-0 ,Oc1ccccc1Oc1ccc (Br)cc1Br ,10,,https://doi.org/10.1016/j.chemosphere.2012.06.033,,diol,Polyfunctional / highly functionalized
202,4’-HO-BDE-17 ,6.9,602326-21-6 ,Oc1cc (Oc2ccc (Br)cc2Br) c(Br)c1 ,7,,https://doi.org/10.1016/j.chemosphere.2012.06.033,,alcohol,Oxygenated organics
203,4’-HO-BDE-90 ,6.48,602326-24-9 ,Oc1c(Br)cc (Oc2ccc (Br)cc2Br) c(Br)c1Br ,4,,https://doi.org/10.1016/j.chemosphere.2012.06.033,,alcohol,Oxygenated organics
204,Tetracycline ,8.11,60-54-8 ,CN(C)···(=O) c4c(O)cccc4[C@@] (C)(O) [C@H]3C[C@@H]12 ,11,,https://doi.org/10.1016/S1011-1344(98)00104-3,,halogeneted,Halogenated organics
205,4-hydroxyquinoline ,7.41,611-36-9 ,Oc1ccnc2ccccc12 ,11,,https://doi.org/10.1016/S1010-6030(98)00394-3,,alcohol,Oxygenated organics
206,"6,7-dimethylpterin ",7.0,611-55-2 ,Cc1nc2nc(N)[nH]c(=O) c2nc1C ,10.5,,https://doi.org/10.1562/2006-09-15-ra-1041,,cyclo,Aromatic & PAHs
207,amp ,6.94,61-19-8 ,Nc1ncnc2c1ncn2[C@@H]1O[CH] (COP (=O O) O) [CH] (O)[C@H]1O ,7,,https://doi.org/10.1021/acsestwater.3c00244,,diol,Polyfunctional / highly functionalized
208,amp ,7.08,61-19-8 ,Nc1ncnc2c1ncn2[CH]1O[C@H] (COP(=O) (O)O) [CH] (O)[C@H]1O ,8.5,,https://doi.org/10.1021/acsestwater.3c00244,,diol,Polyfunctional / highly functionalized
209,2-methylbenzimidazole ,6.3,615-15-6 ,Cc1nc2ccccc2[nH]1 ,6,,https://doi.org/10.1016/j.chemosphere.2006.02.057,,benzene,Aromatic & PAHs
210,2-hydroxybenzimidazole ,6.36,615-16-7 ,O=c1[nH]c2ccccc2[nH]1 ,6,,https://doi.org/10.1016/j.chemosphere.2006.02.057,,benzene,Aromatic & PAHs
211,2-hydroxybenzimidazole ,6.59,615-16-7 ,O=c1[nH]c2ccccc2[nH]1 ,10,,https://doi.org/10.1016/j.chemosphere.2006.02.057,,benzene,Aromatic & PAHs
212,2-hydroxybenzimidazole ,7.04,615-16-7 ,O=c1[nH]c2ccccc2[nH]1 ,12,,https://doi.org/10.1016/j.chemosphere.2006.02.057,,benzene,Aromatic & PAHs
213,Mefenamic acid ,7.2,61-68-7 ,Cc1cccc (Nc2ccccc2C(=O) O) c1C ,7.5,,https://doi.org/10.1039/c7em00079k,,cyclo,Aromatic & PAHs
214,N-acetyl-L-cysteine ,5.78,616-91-1 ,CC(=O) N [C@@H] (CS)C(=O) O ,7.4,,https://doi.org/10.1016/1011-1344(91)80008-6,,alkane,Aliphatic hydrocarbons
215,Paroxetine ,8.07,61869-08-7 ,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c (c2) OCO3) cc1 ,7,,https://doi.org/10.1016/j.scitotenv.2016.12.008,,alcohol,Oxygenated organics
216,Dimethylfuran ,8.91,625-86-5 ,Cc1ccc(C)o1 ,7,,https://doi.org/10.1016/0045-6535(87)90004-X,,alkane,Aliphatic hydrocarbons
217,Carbaryl ,5.47,63-25-2 ,CNC(=O) Oc1cccc2ccccc12 ,6.8,,https://doi.org/10.1016/j.chemosphere.2019.125464,,alcohol,Oxygenated organics
218,Cefotaxime ,6.88,63527-52-6 ,CO/N=C(\C(=O) N [C@@H]1C···CS[C@H]12) c1csc(N)n1 ,7.4,,https://doi.org/10.1016/j.jphotobiol.2014.11.004,,"sulfide, disulfide",Sulfur-containing organics
219,methionine ,7.32,63-68-3 ,CSCC[C@H] (N)C(=O) O ,7,,https://doi.org/10.1111/j.1751-1097.1993.tb02317.x,,"sulfide, disulfide",Sulfur-containing organics
220,methionine ,7.45,63-68-3 ,CSCC[C@H] (N)C(=O) O ,10.6,,https://doi.org/10.1016/j.chemosphere.2012.06.033,,"sulfide, disulfide",Sulfur-containing organics
221,Meclofenamic acid ,7.45,644-62-2 ,Cc1ccc (Cl)c(Nc2ccccc2C(=O) O) c1Cl ,7.5,,https://doi.org/10.1039/c7em00079k,,cyclo,Aromatic & PAHs
222,Pyridoxal hydrochloride ,4.97,65-22-5 ,Cc1ncc (CO)c(C=O) c1OCl ,8.2,,https://doi.org/10.1562/0031-8655(2000)071%3C0129:sipvbp%3E2.0.co;2,,alcohol,Oxygenated organics
223,Pyridoxal hydrochloride ,4.75,65-22-5 ,Cc1ncc (CO)c(C=O) c1OCl ,7.2,,https://doi.org/10.1562/0031-8655(2000)071%3C0129:sipvbp%3E2.0.co;2,,alcohol,Oxygenated organics
224,Pyridoxal hydrochloride ,4.58,65-22-5 ,Cc1ncc (CO)c(C=O) c1OCl ,6.3,,https://doi.org/10.1562/0031-8655(2000)071%3C0129:sipvbp%3E2.0.co;2,,alcohol,Oxygenated organics
225,Uracil ,7.18,66-22-8 ,O=c1cc[nH]c(=O) [nH]1 ,11,,https://doi.org/10.1562/2006-07-25-ra-982,,halogeneted,Halogenated organics
226,Uracil ,7.68,66-22-8 ,O=c1cc[nH]c(=O) [nH]1 ,14,,https://doi.org/10.1562/2006-07-25-ra-982,,halogeneted,Halogenated organics
227,Ranitidine ,7.81,66357-35-5 ,CN/C(=C\[N+] (=O) [O]) NCCSCc1ccc (CN(C)C) o ,9.8,,https://doi.org/10.1021/es0340782,,"sulfide, disulfide",Sulfur-containing organics
228,2-chloro-3-hydroxypyridine ,7.08,6636-78-8 ,Oc1cccnc1Cl ,7,,https://doi.org/10.1016/S1010-6030(99)00115-X,,alcohol,Oxygenated organics
229,L-tyrosyl-glycine ,7.63,673-08-5 ,N[C@@H] (Cc1ccc(O)cc1) C(=O) NCC(=O) O ,11.5,,https://doi.org/10.1007/bf00805805,,halogeneted,Halogenated organics
230,"7,8-dihydrobiopterin ",8.49,6779-87-9 ,C[C@H] (O)[C@H] (O)C1=Nc2c(nc(N)[nH]c2=O) NC1 ,7,,https://doi.org/10.1021/jp071278h,,cyclo,Aromatic & PAHs
231,Sulfadiazine ,6.95,68-35-9 ,Nc1ccc(S(=O) (=O) Nc2ncccn2) cc1 ,8,,https://doi.org/10.1021/es048331p,,cyclo,Aromatic & PAHs
232,Sulfadiazine ,6.79,68-35-9 ,Nc1ccc(S(=O) (=O) Nc2ncccn2) cc1 ,7,,https://doi.org/10.1021/es048331p,,cyclo,Aromatic & PAHs
233,hypoxanthine ,6.48,68-94-0 ,O=c1[nH]cnc2[nH]cnc12 ,7,,https://doi.org/10.1016/j.jphotochem.2007.06.013,,cyclo,Aromatic & PAHs
234,hypoxanthine ,6.7,68-94-0 ,O=c1[nH]cnc2[nH]cnc12 ,9,,https://doi.org/10.1016/j.jphotochem.2007.06.013,,cyclo,Aromatic & PAHs
235,hypoxanthine ,7.3,68-94-0 ,O=c1[nH]cnc2[nH]cnc12 ,12,,https://doi.org/10.1016/j.jphotochem.2007.06.013,,cyclo,Aromatic & PAHs
236,xanthine ,7.58,69-89-6 ,O=c1[nH]c(=O) c2nc[nH]c2[nH]1 ,7,,https://doi.org/10.1016/j.jphotochem.2007.06.013,,cyclo,Aromatic & PAHs
237,xanthine ,7.57,69-89-6 ,O=c1[nH]c(=O) c2nc[nH]c2[nH]1 ,9,,https://doi.org/10.1016/j.jphotochem.2007.06.013,,cyclo,Aromatic & PAHs
238,xanthine ,7.6,69-89-6 ,O=c1[nH]c(=O) c2nc[nH]c2[nH]1 ,12,,https://doi.org/10.1016/j.jphotochem.2007.06.013,,cyclo,Aromatic & PAHs
239,uric acid ,7.0,69-93-2 ,O=c1[nH]c(=O) c2[nH]c(=O) [nH]c2[nH]1 ,5,,https://doi.org/10.1016/j.jphotochem.2007.06.013,,cyclo,Aromatic & PAHs
240,uric acid ,8.08,69-93-2 ,O=c1[nH]c(=O) c2[nH]c(=O) [nH]c2[nH]1 ,7,,https://doi.org/10.1016/j.jphotochem.2007.06.013,,cyclo,Aromatic & PAHs
241,uric acid ,8.26,69-93-2 ,O=c1[nH]c(=O) c2[nH]c(=O) [nH]c2[nH]1 ,9,,https://doi.org/10.1016/j.jphotochem.2007.06.013,,cyclo,Aromatic & PAHs
242,uric acid ,8.72,69-93-2 ,O=c1[nH]c(=O) c2[nH]c(=O) [nH]c2[nH]1 ,12,,https://doi.org/10.1016/j.jphotochem.2007.06.013,,cyclo,Aromatic & PAHs
243,6-methylpterin ,6.69,708-75-8 ,Cc1cnc2nc(N)[nH]c(=O) c2n1 ,10.5,,https://doi.org/10.1562/2006-09-15-ra-1041,,cyclo,Aromatic & PAHs
244,histidine ,7.95,71-00-1 ,N[C@@H] (Cc1c[nH]cn1) C(=O) O ,7,,https://doi.org/10.1111/j.1751-1097.1993.tb02317.x,,halogeneted,Halogenated organics
245,histidine ,7.76,71-00-1 ,N[C@@H] (Cc1c[nH]cn1) C(=O) O ,10.6,,https://doi.org/10.1080/02772249209357813,,halogeneted,Halogenated organics
246,histidine ,7.89,71-00-1 ,N[C@@H] (Cc1c[nH]cn1) C(=O) O ,7.4,,https://doi.org/10.1016/j.jphotochem.2007.01.005,,halogeneted,Halogenated organics
247,6-hydroxymethylpterin ,6.08,712-29-8 ,Nc1nc2ncc (CO)nc2c(=O) [nH]1 ,10.5,,https://doi.org/10.1562/2006-09-15-ra-1041,,cyclo,Aromatic & PAHs
248,3-cyanopyrrole ,7.53,7126-38-7 ,N#Cc1cc[nH]c1 ,7,,https://doi.org/10.1021/acs.est.9b03948,,cyclo,Aromatic & PAHs
249,"9,10-anthracenedipropionic acid ",8.08,71367-28-7 ,O=C(O)CCc1c2ccccc2c(CCC(=O) O) c2ccccc12 ,6.8,,https://doi.org/10.1016/1010-6030(92)85132-E,,benzene,Aromatic & PAHs
250,Sulfathiazole ,7.72,72-14-0 ,Nc1ccc(S(=O) (=O) Nc2nccs2) cc1 ,12,,https://doi.org/10.1016/S0143-7208(00)00010-3,,"sulfide, disulfide",Sulfur-containing organics
251,β-carotene ,9.63,7235-40-7 ,CC1···(C)/C=C/C2=C(C)CCCC2(C)C) C(C)(C) CCC1 ,7.4,,https://doi.org/10.1021/acs.jafc.6b04329,,cyclo,Aromatic & PAHs
252,2-hydroxypyridine ,7.3,72762-00-6 ,Oc1ccccn1 ,11,,https://doi.org/10.1016/S1010-6030(98)00394-3,,alcohol,Oxygenated organics
253,Sulfamoxole ,7.84,729-99-7 ,Cc1nc (NS(=O) (=O) c2ccc(N)cc2) oc1C ,10.2,,https://doi.org/10.1021/es0353053,,alcohol,Oxygenated organics
254,l-Tryptophan ,8.51,73-22-3 ,N[C@@H] (Cc1c[nH]c2ccccc12) C(=O) O ,7.4,,https://doi.org/10.1016/j.jphotochem.2007.01.005,,halogeneted,Halogenated organics
255,Trimethoprim ,6.51,738-70-5 ,COc1cc (Cc2cnc(N)nc2N) cc (OC)c1OC ,6,,https://doi.org/10.1016/j.watres.2011.12.052,,diol,Polyfunctional / highly functionalized
256,α-carotene ,9.76,7488-99-5 ,CC1···C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C ,7.4,,https://doi.org/10.1021/acs.jafc.6b04329,,cyclo,Aromatic & PAHs
257,tetrabromobisphenol ,8.18,79-94-7 ,CC(C) (c1cc (Br)c(O)c(Br)c1) c1cc (Br)c(O)c(Br)c1 ,12,,https://doi.org/10.1016/j.chemosphere.2008.06.013,,cyclo,Aromatic & PAHs
258,Bisphenol A ,8.0,1980/5/7,CC(C)(c1ccc(O)cc1) c1ccc(O)cc1 ,10,,https://doi.org/10.1016/j.chemosphere.2008.06.013,,benzene,Aromatic & PAHs
259,Bisphenol A ,8.3,1980/5/7,CC(C)(c1ccc(O)cc1) c1ccc(O)cc1 ,12,,https://doi.org/10.1016/j.chemosphere.2008.06.013,,benzene,Aromatic & PAHs
260,2’-HO-BDE-123 ,6.28,80246-24-8 ,Oc1c (Oc2ccc (Br)cc2Br) cc (Br)c(Br)c1Br ,4,,https://doi.org/10.1016/j.chemosphere.2012.06.033,,alcohol,Oxygenated organics
261,2’-HO-BDE-68 ,6.72,80246-25-9 ,Oc1c(Br)cc (Br)cc1Oc1ccc (Br)cc1Br ,5,,https://doi.org/10.1016/j.chemosphere.2012.06.033,,diol,Polyfunctional / highly functionalized
262,2’-HO-BDE-68 ,8.25,80246-25-9 ,Oc1c(Br)cc (Br)cc1Oc1ccc (Br)cc1Br ,8,,https://doi.org/10.1016/j.chemosphere.2012.06.033,,diol,Polyfunctional / highly functionalized
263,Sulfachloropyridazine ,6.83,80-32-0 ,Nc1ccc(S(=O) (=O) Nc2ccc (Cl)nn2) cc1 ,8,,https://doi.org/10.1021/es048331p,,cyclo,Aromatic & PAHs
264,bisphenol Z ,6.68,843-55-0 ,Oc1ccc(C2(c3ccc(O)cc3) CCCCC2) cc1 ,3,,https://doi.org/10.1039/C6EM00580B,,alcohol,Oxygenated organics
265,bisphenol Z ,7.74,843-55-0 ,Oc1ccc(C2(c3ccc(O)cc3) CCCCC2) cc1 ,12,,https://doi.org/10.1039/C6EM00580B,,alcohol,Oxygenated organics
266,Pyridoxal 5-phosphate ,5.07,853645-22-4 ,Cc1ncc (COP(=O) (O)O) c(C=O) c1O ,8.2,,https://doi.org/10.1562/0031-8655(2000)071%3C0129:sipvbp%3E2.0.co;2,,cyclo,Aromatic & PAHs
267,Pyridoxal 5-phosphate ,4.72,853645-22-4 ,Cc1ncc (COP(=O) (O)O) c(C=O) c1O ,7.2,,https://doi.org/10.1562/0031-8655(2000)071%3C0129:sipvbp%3E2.0.co;2,,cyclo,Aromatic & PAHs
268,Pyridoxal 5-phosphate ,4.49,853645-22-4 ,Cc1ncc (COP(=O) (O)O) c(C=O) c1O ,6.3,,https://doi.org/10.1562/0031-8655(2000)071%3C0129:sipvbp%3E2.0.co;2,,cyclo,Aromatic & PAHs
269,"2,4,6-Trichlorophenol ",6.3,1988/6/2,Oc1c(Cl)cc (Cl)cc1Cl ,4.2,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
270,"2,4,6-Trichlorophenol ",6.78,1988/6/2,Oc1c(Cl)cc (Cl)cc1Cl ,4.8,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
271,"2,4,6-Trichlorophenol ",7.18,1988/6/2,Oc1c(Cl)cc (Cl)cc1Cl ,5.2,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
272,"2,4,6-Trichlorophenol ",7.41,1988/6/2,Oc1c(Cl)cc (Cl)cc1Cl ,5.5,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
273,"2,4,6-Trichlorophenol ",7.74,1988/6/2,Oc1c(Cl)cc (Cl)cc1Cl ,6,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
274,"2,4,6-Trichlorophenol ",7.98,1988/6/2,Oc1c(Cl)cc (Cl)cc1Cl ,7,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
275,"2,4,6-Trichlorophenol ",8.08,1988/6/2,Oc1c(Cl)cc (Cl)cc1Cl ,9,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
276,2-nitrophenol ,7.2,88-75-5 ,O=[N+] ([O-]) c1ccccc1O ,10,,https://doi.org/10.1002/prac.19943360310,,benzene,Aromatic & PAHs
277,2-nitrophenol ,7.65,88-75-5 ,O=[N+] ([O-]) c1ccccc1O ,12,,https://doi.org/10.1002/prac.19943360310,,benzene,Aromatic & PAHs
278,2-nitro-4-chlorophenol ,7.33,89-64-5 ,O=[N+] ([O-]) c1cc (Cl)ccc1O ,8,,https://doi.org/10.1016/j.scitotenv.2012.03.034,,cyclo,Aromatic & PAHs
279,1-hydroxynaphthalene ,7.32,90-15-3 ,Oc1cccc2ccccc12 ,7,,https://doi.org/10.1016/S1010-6030(99)00172-0,,alcohol,Oxygenated organics
280,1-hydroxynaphthalene ,8.59,90-15-3 ,Oc1cccc2ccccc12 ,11,,https://doi.org/10.1016/S1010-6030(99)00172-0,,alcohol,Oxygenated organics
281,2-deoxyguanosine-5-monophosphate anion,7.23,902-04-5,Nc1nc2c(ncn2[C@H]2C[C@H] (O)[C@@H] (COP(=O) (O)O) O2) c(=O) [nH]1,5.5,,https://doi.org/10.1021/ja075367j,,halogeneted,Halogenated organics
282,2-deoxyguanosine-5-monophosphate anion,7.98,902-04-5,Nc1nc2c(ncn2[C@H]2C[C@H] (O)[C@@H] (COP(=O) (O)O) O2) c(=O) [nH]1,10.5,,https://doi.org/10.1021/ja075367j,,halogeneted,Halogenated organics
283,2-hydroxybiphenyl ,7.64,90-43-7 ,Oc1ccccc1-c1ccccc1 ,11,,https://doi.org/10.1016/0045-6535(93)90113-J,,alcohol,Oxygenated organics
284,2-hydroxybiphenyl ,6.77,90-43-7 ,Oc1ccccc1-c1ccccc1 ,10,,https://doi.org/10.1016/0045-6535(93)90113-J,,alcohol,Oxygenated organics
285,2-hydroxybiphenyl ,6.51,90-43-7 ,Oc1ccccc1-c1ccccc1 ,9,,https://doi.org/10.1016/0045-6535(93)90113-J,,alcohol,Oxygenated organics
286,"2,6-Dimethoxyphenol ",7.56,1991/10/1,COc1cccc (OC)c1O ,12,,https://doi.org/10.1039/C6EM00580B,,alcohol,Oxygenated organics
